"Drug Name","Active Ingredient","Form;Route","Appl. No.","Company","Date","Link"
"Abilify","Aripiprazole","TABLET, ORALLY DISINTEGRATING;ORAL","021729","OTSUKA","02/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021436s044s045,021713s035s036,021729s027s028,021866s029s030lbl.pdf#page=77"
"Abilify","Aripiprazole","TABLET;ORAL","021436","OTSUKA","02/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021436s043,021713s034,021729s026,021866s028lbl.pdf#page=84"
"Abilify","Aripiprazole","SOLUTION;ORAL","021713","OTSUKA","02/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021436s043,021713s034,021729s026,021866s028lbl.pdf#page=84"
"Abilify","Aripiprazole","SOLUTION;ORAL","021713","OTSUKA","02/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021436s044s045,021713s035s036,021729s027s028,021866s029s030lbl.pdf#page=77"
"Abilify","Aripiprazole","INJECTABLE;INTRAMUSCULAR","021866","OTSUKA","02/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021436s044s045,021713s035s036,021729s027s028,021866s029s030lbl.pdf#page=77"
"Abilify","Aripiprazole","TABLET, ORALLY DISINTEGRATING;ORAL","021729","OTSUKA","02/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021436s043,021713s034,021729s026,021866s028lbl.pdf#page=84"
"Abilify","Aripiprazole","TABLET;ORAL","021436","OTSUKA","02/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021436s044s045,021713s035s036,021729s027s028,021866s029s030lbl.pdf#page=77"
"Abilify","Aripiprazole","INJECTABLE;INTRAMUSCULAR","021866","OTSUKA","02/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021436s043,021713s034,021729s026,021866s028lbl.pdf#page=84"
"Abilify Maintena Kit","Aripiprazole","FOR SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR","202971","OTSUKA PHARM CO LTD","02/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/202971s013lbl.pdf#page=52"
"Abilify Mycite Kit","Aripiprazole","TABLET;ORAL","207202","OTSUKA","02/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/207202s002s004lbl.pdf#page=48"
"Abrilada","Adalimumab-Afzb","INJECTABLE;INJECTION","761118","PFIZER INC","11/15/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761118s000lbl.pdf#page=39"
"Absorica","Isotretinoin","CAPSULE;ORAL","021951","SUN PHARM INDS INC","01/24/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021951s013lbl.pdf#page=32"
